index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
3587	g a g ə l	g a g ə l d	goggle	goggled	⋊ g a g ə l ⋉	⋊ g a g ə l d ⋉
3588	g oʊ ɹ	g oʊ ɹ d	gore	gored	⋊ g o ɹ ⋉	⋊ g o ɹ d ⋉
3589	g ɹ eɪ s	g ɹ eɪ s t	grace	graced	⋊ g ɹ e s ⋉	⋊ g ɹ e s t ⋉
3590	g ʌ f ɔ	g ʌ f ɔ d	guffaw	guffawed	⋊ g ʌ f ɔ ⋉	⋊ g ʌ f ɔ d ⋉
3591	h a ɹ m ə n aɪ z	h a ɹ m ə n aɪ z d	harmonize	harmonized	⋊ h a ɹ m ə n a ɪ z ⋉	⋊ h a ɹ m ə n a ɪ z d ⋉
3592	ɪ n k ʌ l k eɪ t	ɪ n k ʌ l k eɪ t ə d	inculcate	inculcated	⋊ ɪ n k ʌ l k e t ⋉	⋊ ɪ n k ʌ l k e t ɪ d ⋉
3593	m ɛ t ə m oʊ ɹ f oʊ z	m ɛ t ə m oʊ ɹ f oʊ z d	metamorphose	metamorphosed	⋊ m ɛ t ə m o ɹ f o z ⋉	⋊ m ɛ t ə m o ɹ f o z d ⋉
3594	m ɪ s d i ɹ ɛ k t	m ɪ s d i ɹ ɛ k t ə d	misdirect	misdirected	⋊ m ɪ s d i ɹ ɛ k t ⋉	⋊ m ɪ s d i ɹ ɛ k t ɪ d ⋉
3595	aʊ t	aʊ t ə d	out	outed	⋊ a ʊ t ⋉	⋊ a ʊ t ɪ d ⋉
3596	oʊ v ɚ ɹ ɪ k s p oʊ z	oʊ v ɚ ɹ ɪ k s p oʊ z d	overexpose	overexposed	⋊ o v ɛ ɹ ɹ ɪ k s p o z ⋉	⋊ o v ɛ ɹ ɹ ɪ k s p o z d ⋉
3597	oʊ v ɚ ʃ u t	oʊ v ɚ ʃ a t	overshoot	overshot	⋊ o v ɛ ɹ ʃ u t ⋉	⋊ o v ɛ ɹ ʃ a t ⋉
3598	p eɪ l	p eɪ l d	pale	paled	⋊ p e l ⋉	⋊ p e l d ⋉
3599	p a ɹ t n ɚ	p a ɹ t n ɚ d	partner	partnered	⋊ p a ɹ t n ɛ ɹ ⋉	⋊ p a ɹ t n ɛ ɹ d ⋉
3600	p ə l ɪ t ɪ s aɪ z	p ə l ɪ t ɪ s aɪ z d	politicize	politicized	⋊ p ə l ɪ t ɪ s a ɪ z ⋉	⋊ p ə l ɪ t ɪ s a ɪ z d ⋉
3601	p ʌ l p	p ʌ l p t	pulp	pulped	⋊ p ʌ l p ⋉	⋊ p ʌ l p t ⋉
3602	ɹ æ m p eɪ dʒ	ɹ æ m p eɪ dʒ d	rampage	rampaged	⋊ ɹ ɑ m p e d ʒ ⋉	⋊ ɹ ɑ m p e d ʒ d ⋉
3603	ɹ ɪ b ʌ f	ɹ ɪ b ʌ f t	rebuff	rebuffed	⋊ ɹ ɪ b ʌ f ⋉	⋊ ɹ ɪ b ʌ f t ⋉
3604	ɹ ɪ k u p ə ɹ eɪ t	ɹ ɪ k u p ə ɹ eɪ t ə d	recuperate	recuperated	⋊ ɹ ɪ k u p ə ɹ e t ⋉	⋊ ɹ ɪ k u p ə ɹ e t ɪ d ⋉
3605	ɹ eɪ n	ɹ eɪ n d	rein	reined	⋊ ɹ e n ⋉	⋊ ɹ e n d ⋉
3606	ɹ ɪ p ɹ i v	ɹ ɪ p ɹ i v d	reprieve	reprieved	⋊ ɹ ɪ p ɹ i v ⋉	⋊ ɹ ɪ p ɹ i v d ⋉
3607	ɹ ɪ v aɪ l	ɹ ɪ v aɪ l d	revile	reviled	⋊ ɹ ɪ v a ɪ l ⋉	⋊ ɹ ɪ v a ɪ l d ⋉
3608	ɹ aɪ m	ɹ aɪ m d	rhyme	rhymed	⋊ ɹ a ɪ m ⋉	⋊ ɹ a ɪ m d ⋉
3609	s æ v ɪ dʒ	s æ v ɪ dʒ d	savage	savaged	⋊ s ɑ v ɪ d ʒ ⋉	⋊ s ɑ v ɪ d ʒ d ⋉
3610	ʃ ʌ t ə l	ʃ ʌ t ə l d	shuttle	shuttled	⋊ ʃ ʌ t ə l ⋉	⋊ ʃ ʌ t ə l d ⋉
3611	s aɪ d s t ɛ p	s aɪ d s t ɛ p t	sidestep	sidestepped	⋊ s a ɪ d s t ɛ p ⋉	⋊ s a ɪ d s t ɛ p t ⋉
3612	s k ɪ m p	s k ɪ m p t	skimp	skimped	⋊ s k ɪ m p ⋉	⋊ s k ɪ m p t ⋉
3613	s l u	s l u d	slew	slewed	⋊ s l u ⋉	⋊ s l u d ⋉
3614	s n eɪ ɹ	s n eɪ ɹ d	snare	snared	⋊ s n e ɹ ⋉	⋊ s n e ɹ d ⋉
3615	s oʊ l dʒ ɚ	s oʊ l dʒ ɚ d	soldier	soldiered	⋊ s o l d ʒ ɛ ɹ ⋉	⋊ s o l d ʒ ɛ ɹ d ⋉
3616	s ʌ b dʒ ə g eɪ t	s ʌ b dʒ ə g eɪ t ə d	subjugate	subjugated	⋊ s ʌ b d ʒ ə g e t ⋉	⋊ s ʌ b d ʒ ə g e t ɪ d ⋉
3617	s ʌ n	s ʌ n d	sun	sunned	⋊ s ʌ n ⋉	⋊ s ʌ n d ⋉
3618	t ɛ l ɪ g ɹ æ f	t ɛ l ɪ g ɹ æ f t	telegraph	telegraphed	⋊ t ɛ l ɪ g ɹ ɑ f ⋉	⋊ t ɛ l ɪ g ɹ ɑ f t ⋉
3619	t ɛ n ə n t	t ɛ n ə n t ə d	tenant	tenanted	⋊ t ɛ n ə n t ⋉	⋊ t ɛ n ə n t ɪ d ⋉
3620	t u t	t u t ə d	toot	tooted	⋊ t u t ⋉	⋊ t u t ɪ d ⋉
3621	ʌ n d ɚ s t eɪ t	ʌ n d ɚ s t eɪ t ə d	understate	understated	⋊ ʌ n d ɛ ɹ s t e t ⋉	⋊ ʌ n d ɛ ɹ s t e t ɪ d ⋉
3622	ə m i l j ə ɹ eɪ t	ə m i l j ə ɹ eɪ t ə d	ameliorate	ameliorated	⋊ ə m i l j ə ɹ e t ⋉	⋊ ə m i l j ə ɹ e t ɪ d ⋉
3623	æ t ɹ ə f i	æ t ɹ ə f i d	atrophy	atrophied	⋊ ɑ t ɹ ə f i ⋉	⋊ ɑ t ɹ ə f i d ⋉
3624	ɔ d ɪ ʃ ə n	ɔ d ɪ ʃ ə n d	audition	auditioned	⋊ ɔ d ɪ ʃ ə n ⋉	⋊ ɔ d ɪ ʃ ə n d ⋉
3625	b ə l u n	b ə l u n d	balloon	ballooned	⋊ b ə l u n ⋉	⋊ b ə l u n d ⋉
3626	b ɪ h ɛ d	b ɪ h ɛ d ə d	behead	beheaded	⋊ b ɪ h ɛ d ⋉	⋊ b ɪ h ɛ d ɪ d ⋉
3627	b l ʌ d	b l ʌ d ə d	blood	blooded	⋊ b l ʌ d ⋉	⋊ b l ʌ d ɪ d ⋉
3628	b ɹ ʊ k	b ɹ ʊ k t	brook	brooked	⋊ b ɹ ʊ k ⋉	⋊ b ɹ ʊ k t ⋉
3629	k æ p s aɪ z	k æ p s aɪ z d	capsize	capsized	⋊ k ɑ p s a ɪ z ⋉	⋊ k ɑ p s a ɪ z d ⋉
3630	k ə ɹ i n	k ə ɹ i n d	careen	careened	⋊ k ə ɹ i n ⋉	⋊ k ə ɹ i n d ⋉
3631	tʃ ɚ p	tʃ ɚ p t	chirp	chirped	⋊ t ʃ ɛ ɹ p ⋉	⋊ t ʃ ɛ ɹ p t ⋉
3632	tʃ ɪ z ə l	tʃ ɪ z ə l d	chisel	chiselled	⋊ t ʃ ɪ z ə l ⋉	⋊ t ʃ ɪ z ə l d ⋉
3633	k a d ə l	k a d ə l d	coddle	coddled	⋊ k a d ə l ⋉	⋊ k a d ə l d ⋉
3634	k ɹ ɪ m p	k ɹ ɪ m p t	crimp	crimped	⋊ k ɹ ɪ m p ⋉	⋊ k ɹ ɪ m p t ⋉
3635	d æ p ə l	d æ p ə l d	dapple	dappled	⋊ d ɑ p ə l ⋉	⋊ d ɑ p ə l d ⋉
3636	d ɪ f eɪ s	d ɪ f eɪ s t	deface	defaced	⋊ d ɪ f e s ⋉	⋊ d ɪ f e s t ⋉
3637	d ɛ f ə k eɪ t	d ɛ f ə k eɪ t ə d	defecate	defecated	⋊ d ɛ f ə k e t ⋉	⋊ d ɛ f ə k e t ɪ d ⋉
3638	d ɪ s ɪ m b aʊ ə l	d ɪ s ɪ m b aʊ ə l d	disembowel	disembowelled	⋊ d ɪ s ɪ m b a ʊ ə l ⋉	⋊ d ɪ s ɪ m b a ʊ ə l d ⋉
3639	d ʌ b ə l k ɹ ɔ s	d ʌ b ə l k ɹ ɔ s t	double-cross	double-crossed	⋊ d ʌ b ə l k ɹ ɔ s ⋉	⋊ d ʌ b ə l k ɹ ɔ s t ⋉
3640	ɪ n k ʌ m b ɚ	ɪ n k ʌ m b ɚ d	encumber	encumbered	⋊ ɪ n k ʌ m b ɛ ɹ ⋉	⋊ ɪ n k ʌ m b ɛ ɹ d ⋉
3641	ɪ n oʊ b ə l	ɪ n oʊ b ə l d	ennoble	ennobled	⋊ ɪ n o b ə l ⋉	⋊ ɪ n o b ə l d ⋉
3642	ɪ n ʌ n s i eɪ t	ɪ n ʌ n s i eɪ t ə d	enunciate	enunciated	⋊ ɪ n ʌ n s i e t ⋉	⋊ ɪ n ʌ n s i e t ɪ d ⋉
3643	f ə m ɪ l j ə ɹ aɪ z	f ə m ɪ l j ə ɹ aɪ z d	familiarize	familiarized	⋊ f ə m ɪ l j ə ɹ a ɪ z ⋉	⋊ f ə m ɪ l j ə ɹ a ɪ z d ⋉
3644	f l ʌ f	f l ʌ f t	fluff	fluffed	⋊ f l ʌ f ⋉	⋊ f l ʌ f t ⋉
3645	n æ ʃ	n æ ʃ t	gnash	gnashed	⋊ n ɑ ʃ ⋉	⋊ n ɑ ʃ t ⋉
3646	g ɹ u v	g ɹ u v d	groove	grooved	⋊ g ɹ u v ⋉	⋊ g ɹ u v d ⋉
3647	h ə l u s ɪ n eɪ t	h ə l u s ɪ n eɪ t ə d	hallucinate	hallucinated	⋊ h ə l u s ɪ n e t ⋉	⋊ h ə l u s ɪ n e t ɪ d ⋉
3648	h j u	h j u d	hew	hewed	⋊ h j u ⋉	⋊ h j u d ⋉
3649	h ɪ k ʌ p	h ɪ k ʌ p t	hiccup	hiccupped	⋊ h ɪ k ʌ p ⋉	⋊ h ɪ k ʌ p t ⋉
3650	ɪ n d a k t ɹ ɪ n eɪ t	ɪ n d a k t ɹ ɪ n eɪ t ə d	indoctrinate	indoctrinated	⋊ ɪ n d a k t ɹ ɪ n e t ⋉	⋊ ɪ n d a k t ɹ ɪ n e t ɪ d ⋉
3651	l æ n s	l æ n s t	lance	lanced	⋊ l ɑ n s ⋉	⋊ l ɑ n s t ⋉
3652	l i eɪ z	l i eɪ z d	liaise	liaised	⋊ l i e z ⋉	⋊ l i e z d ⋉
3653	m æ n h æ n d ə l	m æ n h æ n d ə l d	manhandle	manhandled	⋊ m ɑ n h ɑ n d ə l ⋉	⋊ m ɑ n h ɑ n d ə l d ⋉
3654	m j u	m j u d	mew	mewed	⋊ m j u ⋉	⋊ m j u d ⋉
3655	m u tʃ	m u tʃ t	mooch	mooched	⋊ m u t ʃ ⋉	⋊ m u t ʃ t ⋉
3656	m u t	m u t ə d	moot	mooted	⋊ m u t ⋉	⋊ m u t ɪ d ⋉
3657	a b v i eɪ t	a b v i eɪ t ə d	obviate	obviated	⋊ a b v i e t ⋉	⋊ a b v i e t ɪ d ⋉
3658	aʊ t l æ s t	aʊ t l æ s t ə d	outlast	outlasted	⋊ a ʊ t l ɑ s t ⋉	⋊ a ʊ t l ɑ s t ɪ d ⋉
3659	p eɪ ɹ ə d i	p eɪ ɹ ə d i d	parody	parodied	⋊ p e ɹ ə d i ⋉	⋊ p e ɹ ə d i d ⋉
3660	p i l	p i l d	peal	pealed	⋊ p i l ⋉	⋊ p i l d ⋉
3661	p ɪ l ɪ dʒ	p ɪ l ɪ dʒ d	pillage	pillaged	⋊ p ɪ l ɪ d ʒ ⋉	⋊ p ɪ l ɪ d ʒ d ⋉
3662	p ɹ i ɪ g z ɪ s t	p ɹ i ɪ g z ɪ s t ə d	pre-exist	pre-existed	⋊ p ɹ i ɪ g z ɪ s t ⋉	⋊ p ɹ i ɪ g z ɪ s t ɪ d ⋉
3663	k w ɪ b ə l	k w ɪ b ə l d	quibble	quibbled	⋊ k w ɪ b ə l ⋉	⋊ k w ɪ b ə l d ⋉
3664	k w aɪ ə t	k w aɪ ə t ə d	quiet	quieted	⋊ k w a ɪ ə t ⋉	⋊ k w a ɪ ə t ɪ d ⋉
3665	ɹ æ ŋ k ə l	ɹ æ ŋ k ə l d	rankle	rankled	⋊ ɹ ɑ ŋ k ə l ⋉	⋊ ɹ ɑ ŋ k ə l d ⋉
3666	ɹ i ə dʒ ʌ s t	ɹ i ə dʒ ʌ s t ə d	readjust	readjusted	⋊ ɹ i ə d ʒ ʌ s t ⋉	⋊ ɹ i ə d ʒ ʌ s t ɪ d ⋉
3667	ɹ i tʃ a ɹ dʒ	ɹ i tʃ a ɹ dʒ d	recharge	recharged	⋊ ɹ i t ʃ a ɹ d ʒ ⋉	⋊ ɹ i t ʃ a ɹ d ʒ d ⋉
3668	ɹ i ɪ m b ɚ s	ɹ i ɪ m b ɚ s t	reimburse	reimbursed	⋊ ɹ i ɪ m b ɛ ɹ s ⋉	⋊ ɹ i ɪ m b ɛ ɹ s t ⋉
3669	ɹ ɪ dʒ	ɹ ɪ dʒ d	ridge	ridged	⋊ ɹ ɪ d ʒ ⋉	⋊ ɹ ɪ d ʒ d ⋉
3670	ɹ oʊ m æ n t ɪ s aɪ z	ɹ oʊ m æ n t ɪ s aɪ z d	romanticize	romanticized	⋊ ɹ o m ɑ n t ɪ s a ɪ z ⋉	⋊ ɹ o m ɑ n t ɪ s a ɪ z d ⋉
3671	s k aʊ t	s k aʊ t ə d	scout	scouted	⋊ s k a ʊ t ⋉	⋊ s k a ʊ t ɪ d ⋉
3672	ʃ ɚ k	ʃ ɚ k t	shirk	shirked	⋊ ʃ ɛ ɹ k ⋉	⋊ ʃ ɛ ɹ k t ⋉
3673	s ɪ v	s ɪ v d	sieve	sieved	⋊ s ɪ v ⋉	⋊ s ɪ v d ⋉
3674	s ɪ n dʒ	s ɪ n dʒ d	singe	singed	⋊ s ɪ n d ʒ ⋉	⋊ s ɪ n d ʒ d ⋉
3675	s l a b ɚ	s l a b ɚ d	slobber	slobbered	⋊ s l a b ɛ ɹ ⋉	⋊ s l a b ɛ ɹ d ⋉
3676	s oʊ p	s oʊ p t	soap	soaped	⋊ s o p ⋉	⋊ s o p t ⋉
3677	s p ʌ t ɚ	s p ʌ t ɚ d	sputter	sputtered	⋊ s p ʌ t ɛ ɹ ⋉	⋊ s p ʌ t ɛ ɹ d ⋉
3678	s t æ m p i d	s t æ m p i d ə d	stampede	stampeded	⋊ s t ɑ m p i d ⋉	⋊ s t ɑ m p i d ɪ d ⋉
3679	t æ l i	t æ l i d	tally	tallied	⋊ t ɑ l i ⋉	⋊ t ɑ l i d ⋉
3680	t ɪ t ɪ l eɪ t	t ɪ t ɪ l eɪ t ə d	titillate	titillated	⋊ t ɪ t ɪ l e t ⋉	⋊ t ɪ t ɪ l e t ɪ d ⋉
3681	t ɹ æ f ɪ k	t ɹ æ f ɪ k t	traffic	trafficked	⋊ t ɹ ɑ f ɪ k ⋉	⋊ t ɹ ɑ f ɪ k t ⋉
3682	t ɹ æ n s g ɹ ɛ s	t ɹ æ n s g ɹ ɛ s t	transgress	transgressed	⋊ t ɹ ɑ n s g ɹ ɛ s ⋉	⋊ t ɹ ɑ n s g ɹ ɛ s t ⋉
3683	ə ɹ eɪ	ə ɹ eɪ d	array	arrayed	⋊ ə ɹ e ⋉	⋊ ə ɹ e d ⋉
3684	b eɪ ɹ ɪ k eɪ d	b eɪ ɹ ɪ k eɪ d ə d	barricade	barricaded	⋊ b e ɹ ɪ k e d ⋉	⋊ b e ɹ ɪ k e d ɪ d ⋉
3685	b ɹ æ k ɪ t	b ɹ æ k ɪ t ə d	bracket	bracketed	⋊ b ɹ ɑ k ɪ t ⋉	⋊ b ɹ ɑ k ɪ t ɪ d ⋉
3686	b ɹ eɪ	b ɹ eɪ d	bray	brayed	⋊ b ɹ e ⋉	⋊ b ɹ e d ⋉
3687	b ʌ d	b ʌ d ə d	bud	budded	⋊ b ʌ d ⋉	⋊ b ʌ d ɪ d ⋉
3688	b ɚ g ə l	b ɚ g ə l d	burgle	burgled	⋊ b ɛ ɹ g ə l ⋉	⋊ b ɛ ɹ g ə l d ⋉
3689	s ɚ k ə m v ɛ n t	s ɚ k ə m v ɛ n t ə d	circumvent	circumvented	⋊ s ɛ ɹ k ə m v ɛ n t ⋉	⋊ s ɛ ɹ k ə m v ɛ n t ɪ d ⋉
3690	k ə l eɪ t	k ə l eɪ t ə d	collate	collated	⋊ k ə l e t ⋉	⋊ k ə l e t ɪ d ⋉
3691	k a p	k a p t	cop	copped	⋊ k a p ⋉	⋊ k a p t ⋉
3692	k oʊ ɹ d	k oʊ ɹ d ə d	cord	corded	⋊ k o ɹ d ⋉	⋊ k o ɹ d ɪ d ⋉
3693	d ɪ k l eɪ m	d ɪ k l eɪ m d	declaim	declaimed	⋊ d ɪ k l e m ⋉	⋊ d ɪ k l e m d ⋉
3694	d ɪ n u d	d ɪ n u d ə d	denude	denuded	⋊ d ɪ n u d ⋉	⋊ d ɪ n u d ɪ d ⋉
3695	d aɪ g ɹ ɛ s	d aɪ g ɹ ɛ s t	digress	digressed	⋊ d a ɪ g ɹ ɛ s ⋉	⋊ d a ɪ g ɹ ɛ s t ⋉
3696	d ɪ s d eɪ n	d ɪ s d eɪ n d	disdain	disdained	⋊ d ɪ s d e n ⋉	⋊ d ɪ s d e n d ⋉
3697	d ɪ s ɛ m b ə l	d ɪ s ɛ m b ə l d	dissemble	dissembled	⋊ d ɪ s ɛ m b ə l ⋉	⋊ d ɪ s ɛ m b ə l d ⋉
3698	d a f	d a f t	doff	doffed	⋊ d a f ⋉	⋊ d a f t ⋉
3699	d aʊ n g ɹ eɪ d	d aʊ n g ɹ eɪ d ə d	downgrade	downgraded	⋊ d a ʊ n g ɹ e d ⋉	⋊ d a ʊ n g ɹ e d ɪ d ⋉
3700	ɪ l oʊ p	ɪ l oʊ p t	elope	eloped	⋊ ɪ l o p ⋉	⋊ ɪ l o p t ⋉
3701	ɪ k s p a s tʃ ʊ l eɪ t	ɪ k s p a s tʃ ʊ l eɪ t ə d	expostulate	expostulated	⋊ ɪ k s p a s t ʃ ʊ l e t ⋉	⋊ ɪ k s p a s t ʃ ʊ l e t ɪ d ⋉
3702	ɛ k s p ɹ oʊ p ɹ i eɪ t	ɛ k s p ɹ oʊ p ɹ i eɪ t ə d	expropriate	expropriated	⋊ ɛ k s p ɹ o p ɹ i e t ⋉	⋊ ɛ k s p ɹ o p ɹ i e t ɪ d ⋉
3703	ɪ k s t ɹ æ p ə l eɪ t	ɪ k s t ɹ æ p ə l eɪ t ə d	extrapolate	extrapolated	⋊ ɪ k s t ɹ ɑ p ə l e t ⋉	⋊ ɪ k s t ɹ ɑ p ə l e t ɪ d ⋉
3704	ɪ g z ʌ l t	ɪ g z ʌ l t ə d	exult	exulted	⋊ ɪ g z ʌ l t ⋉	⋊ ɪ g z ʌ l t ɪ d ⋉
3705	f a ð ɚ	f a ð ɚ d	father	fathered	⋊ f a ð ɛ ɹ ⋉	⋊ f a ð ɛ ɹ d ⋉
3706	f ɪ z	f ɪ z d	fizz	fizzed	⋊ f ɪ z ⋉	⋊ f ɪ z d ⋉
3707	f l ʌ ŋ k	f l ʌ ŋ k t	flunk	flunked	⋊ f l ʌ ŋ k ⋉	⋊ f l ʌ ŋ k t ⋉
3708	f ʌ dʒ	f ʌ dʒ d	fudge	fudged	⋊ f ʌ d ʒ ⋉	⋊ f ʌ d ʒ d ⋉
3709	f ɚ	f ɚ d	fur	furred	⋊ f ɛ ɹ ⋉	⋊ f ɛ ɹ d ⋉
3710	g a ɹ n ɚ	g a ɹ n ɚ d	garner	garnered	⋊ g a ɹ n ɛ ɹ ⋉	⋊ g a ɹ n ɛ ɹ d ⋉
3711	h ɛ d l aɪ n	h ɛ d l aɪ n d	headline	headlined	⋊ h ɛ d l a ɪ n ⋉	⋊ h ɛ d l a ɪ n d ⋉
3712	h aɪ b ɚ n eɪ t	h aɪ b ɚ n eɪ t ə d	hibernate	hibernated	⋊ h a ɪ b ɛ ɹ n e t ⋉	⋊ h a ɪ b ɛ ɹ n e t ɪ d ⋉
3713	h aɪ dʒ æ k	h aɪ dʒ æ k t	hijack	hijacked	⋊ h a ɪ d ʒ ɑ k ⋉	⋊ h a ɪ d ʒ ɑ k t ⋉
3714	ɪ m p eɪ ɹ ə l	ɪ m p eɪ ɹ ə l d	imperil	imperilled	⋊ ɪ m p e ɹ ə l ⋉	⋊ ɪ m p e ɹ ə l d ⋉
3715	ɪ n a k j ʊ l eɪ t	ɪ n a k j ʊ l eɪ t ə d	inoculate	inoculated	⋊ ɪ n a k j ʊ l e t ⋉	⋊ ɪ n a k j ʊ l e t ɪ d ⋉
3716	ɪ n t ɚ w i v	ɪ n t ɚ w oʊ v	interweave	interwove	⋊ ɪ n t ɛ ɹ w i v ⋉	⋊ ɪ n t ɛ ɹ w o v ⋉
3717	l æ s ə ɹ eɪ t	l æ s ə ɹ eɪ t ə d	lacerate	lacerated	⋊ l ɑ s ə ɹ e t ⋉	⋊ l ɑ s ə ɹ e t ɪ d ⋉
3718	m ʌ d i	m ʌ d i d	muddy	muddied	⋊ m ʌ d i ⋉	⋊ m ʌ d i d ⋉
3719	oʊ v ɚ tʃ a ɹ dʒ	oʊ v ɚ tʃ a ɹ dʒ d	overcharge	overcharged	⋊ o v ɛ ɹ t ʃ a ɹ d ʒ ⋉	⋊ o v ɛ ɹ t ʃ a ɹ d ʒ d ⋉
3720	p aɪ l ə t	p aɪ l ə t ə d	pilot	piloted	⋊ p a ɪ l ə t ⋉	⋊ p a ɪ l ə t ɪ d ⋉
3721	p a s tʃ ɚ	p a s tʃ ɚ d	posture	postured	⋊ p a s t ʃ ɛ ɹ ⋉	⋊ p a s t ʃ ɛ ɹ d ⋉
3722	p ɹ ɛ f ɪ s	p ɹ ɛ f ɪ s t	preface	prefaced	⋊ p ɹ ɛ f ɪ s ⋉	⋊ p ɹ ɛ f ɪ s t ⋉
3723	p ɹ ɛ s ɪ dʒ	p ɹ ɛ s ɪ dʒ d	presage	presaged	⋊ p ɹ ɛ s ɪ d ʒ ⋉	⋊ p ɹ ɛ s ɪ d ʒ d ⋉
3724	ɹ u m	ɹ u m d	room	roomed	⋊ ɹ u m ⋉	⋊ ɹ u m d ⋉
3725	ʃ i ð	ʃ i ð d	sheathe	sheathed	⋊ ʃ i ð ⋉	⋊ ʃ i ð d ⋉
3726	s w a t	s w a t ə d	swat	swatted	⋊ s w a t ⋉	⋊ s w a t ɪ d ⋉
3727	t w aɪ n	t w aɪ n d	twine	twined	⋊ t w a ɪ n ⋉	⋊ t w a ɪ n d ⋉
3728	v ɛ n d	v ɛ n d ə d	vend	vended	⋊ v ɛ n d ⋉	⋊ v ɛ n d ɪ d ⋉
3729	w ɪ n oʊ	w ɪ n oʊ d	winnow	winnowed	⋊ w ɪ n o ⋉	⋊ w ɪ n o d ⋉
3730	z æ p	z æ p t	zap	zapped	⋊ z ɑ p ⋉	⋊ z ɑ p t ⋉
3731	z ɪ g z æ g	z ɪ g z æ g d	zigzag	zigzagged	⋊ z ɪ g z ɑ g ⋉	⋊ z ɪ g z ɑ g d ⋉
3732	ə s ɛ n t	ə s ɛ n t ə d	assent	assented	⋊ ə s ɛ n t ⋉	⋊ ə s ɛ n t ɪ d ⋉
3733	ə t aɪ ɚ	ə t aɪ ɚ d	attire	attired	⋊ ə t a ɪ ɛ ɹ ⋉	⋊ ə t a ɪ ɛ ɹ d ⋉
3734	ɔ d ɪ t	ɔ d ɪ t ə d	audit	audited	⋊ ɔ d ɪ t ⋉	⋊ ɔ d ɪ t ɪ d ⋉
3735	ɔ θ ɛ n t ɪ k eɪ t	ɔ θ ɛ n t ɪ k eɪ t ə d	authenticate	authenticated	⋊ ɔ θ ɛ n t ɪ k e t ⋉	⋊ ɔ θ ɛ n t ɪ k e t ɪ d ⋉
3736	b i tʃ	b i tʃ t	beach	beached	⋊ b i t ʃ ⋉	⋊ b i t ʃ t ⋉
3737	b aɪ s ɛ k t	b aɪ s ɛ k t ə d	bisect	bisected	⋊ b a ɪ s ɛ k t ⋉	⋊ b a ɪ s ɛ k t ɪ d ⋉
3738	b l ʌ s t ɚ	b l ʌ s t ɚ d	bluster	blustered	⋊ b l ʌ s t ɛ ɹ ⋉	⋊ b l ʌ s t ɛ ɹ d ⋉
3739	b a g ə l	b a g ə l d	boggle	boggled	⋊ b a g ə l ⋉	⋊ b a g ə l d ⋉
3740	b a k s	b a k s t	box	boxed	⋊ b a k s ⋉	⋊ b a k s t ⋉
3741	b ʌ m	b ʌ m d	bum	bummed	⋊ b ʌ m ⋉	⋊ b ʌ m d ⋉
3742	k æ p t ɪ v eɪ t	k æ p t ɪ v eɪ t ə d	captivate	captivated	⋊ k ɑ p t ɪ v e t ⋉	⋊ k ɑ p t ɪ v e t ɪ d ⋉
3743	k ə ɹ i ɹ	k ə ɹ i ɹ d	career	careered	⋊ k ə ɹ i ɹ ⋉	⋊ k ə ɹ i ɹ d ⋉
3744	k æ s t ɪ g eɪ t	k æ s t ɪ g eɪ t ə d	castigate	castigated	⋊ k ɑ s t ɪ g e t ⋉	⋊ k ɑ s t ɪ g e t ɪ d ⋉
3745	s i d	s i d ə d	cede	ceded	⋊ s i d ⋉	⋊ s i d ɪ d ⋉
3746	tʃ i p ə n	tʃ i p ə n d	cheapen	cheapened	⋊ t ʃ i p ə n ⋉	⋊ t ʃ i p ə n d ⋉
3747	k l oʊ k	k l oʊ k t	cloak	cloaked	⋊ k l o k ⋉	⋊ k l o k t ⋉
3748	k l a z ɪ t	k l a z ɪ t ə d	closet	closeted	⋊ k l a z ɪ t ⋉	⋊ k l a z ɪ t ɪ d ⋉
3749	k oʊ l	k oʊ l d	coal	coaled	⋊ k o l ⋉	⋊ k o l d ⋉
3750	k oʊ ɹ s ə n	k oʊ ɹ s ə n d	coarsen	coarsened	⋊ k o ɹ s ə n ⋉	⋊ k o ɹ s ə n d ⋉
3751	k aʊ n t ɚ v eɪ l	k aʊ n t ɚ v eɪ l d	countervail	countervailed	⋊ k a ʊ n t ɛ ɹ v e l ⋉	⋊ k a ʊ n t ɛ ɹ v e l d ⋉
3752	d ɪ k æ n t	d ɪ k æ n t ə d	decant	decanted	⋊ d ɪ k ɑ n t ⋉	⋊ d ɪ k ɑ n t ɪ d ⋉
3753	d i f ɹ ɔ s t	d i f ɹ ɔ s t ə d	defrost	defrosted	⋊ d i f ɹ ɔ s t ⋉	⋊ d i f ɹ ɔ s t ɪ d ⋉
3754	d ɪ m a k ɹ ə t aɪ z	d ɪ m a k ɹ ə t aɪ z d	democratize	democratized	⋊ d ɪ m a k ɹ ə t a ɪ z ⋉	⋊ d ɪ m a k ɹ ə t a ɪ z d ⋉
3755	d ɛ p ɹ ɪ k eɪ t	d ɛ p ɹ ɪ k eɪ t ə d	deprecate	deprecated	⋊ d ɛ p ɹ ɪ k e t ⋉	⋊ d ɛ p ɹ ɪ k e t ɪ d ⋉
3756	d ɛ s ɪ k eɪ t	d ɛ s ɪ k eɪ t ə d	desiccate	desiccated	⋊ d ɛ s ɪ k e t ⋉	⋊ d ɛ s ɪ k e t ɪ d ⋉
