lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
v ˈɛ n d	v ˈɛ n d ɨ d	17	vend	vended	∅ -> ɨ d	regular	NA	vˈɛnd	vˈɛndɨd
w ˈɪ n oʊ	w ˈɪ n oʊ d	17	winnow	winnowed	∅ -> d	regular	NA	wˈɪno	wˈɪnod
z ˈæ p	z ˈæ p t	17	zap	zapped	∅ -> t	regular	NA	zˈæp	zˈæpt
z ˈɪ g z æ g	z ˈɪ g z æ g d	17	zigzag	zigzagged	∅ -> d	regular	NA	zˈɪgzæg	zˈɪgzægd
ˈɔ d ɪ t	ˈɔ d ɪ t ɨ d	16	audit	audited	∅ -> ɨ d	regular	NA	ˈɔdɪt	ˈɔdɪtɨd
ˈɔ s ɪ f aɪ	ˈɔ s ɪ f aɪ d	16	ossify	ossified	∅ -> d	regular	NA	ˈɔsɪfY	ˈɔsɪfYd
b ˈa g ə l	b ˈa g ə l d	16	boggle	boggled	∅ -> d	regular	NA	bˈagəl	bˈagəld
b ˈa k s	b ˈa k s t	16	box	boxed	∅ -> t	regular	NA	bˈaks	bˈakst
b ˈi tʃ	b ˈi tʃ t	16	beach	beached	∅ -> t	regular	NA	bˈiC	bˈiCt
b ˈʌ m	b ˈʌ m d	16	bum	bummed	∅ -> d	regular	NA	bˈʌm	bˈʌmd
b aɪ s ˈɛ k t	b aɪ s ˈɛ k t ɨ d	16	bisect	bisected	∅ -> ɨ d	regular	NA	bYsˈɛkt	bYsˈɛktɨd
b l ˈʌ s t ɚ	b l ˈʌ s t ɚ d	16	bluster	blustered	∅ -> d	regular	NA	blˈʌstɚ	blˈʌstɚd
d ˈaɪ s	d ˈaɪ s t	16	dice	diced	∅ -> t	regular	NA	dˈYs	dˈYst
d ˈɛ p ɹ ɪ k eɪ t	d ˈɛ p ɹ ɪ k eɪ t ɨ d	16	deprecate	deprecated	∅ -> ɨ d	regular	NA	dˈɛpɹɪket	dˈɛpɹɪketɨd
d ˈɛ s ɪ k eɪ t	d ˈɛ s ɪ k eɪ t ɨ d	16	desiccate	desiccated	∅ -> ɨ d	regular	NA	dˈɛsɪket	dˈɛsɪketɨd
d ˈoʊ s	d ˈoʊ s t	16	dose	dosed	∅ -> t	regular	NA	dˈos	dˈost
d ˈʌ m f aʊ n d	d ˈʌ m f aʊ n d ɨ d	16	dumbfound	dumbfounded	∅ -> ɨ d	regular	NA	dˈʌmfWnd	dˈʌmfWndɨd
d i f ɹ ˈɔ s t	d i f ɹ ˈɔ s t ɨ d	16	defrost	defrosted	∅ -> ɨ d	regular	NA	difɹˈɔst	difɹˈɔstɨd
d ɪ k ˈæ n t	d ɪ k ˈæ n t ɨ d	16	decant	decanted	∅ -> ɨ d	regular	NA	dɪkˈænt	dɪkˈæntɨd
d ɪ m ˈa k ɹ ə t aɪ z	d ɪ m ˈa k ɹ ə t aɪ z d	16	democratize	democratized	∅ -> d	regular	NA	dɪmˈakɹətYz	dɪmˈakɹətYzd
d ɪ s ɪ n tʃ ˈæ n t	d ɪ s ɪ n tʃ ˈæ n t ɨ d	16	disenchant	disenchanted	∅ -> ɨ d	regular	NA	dɪsɪnCˈænt	dɪsɪnCˈæntɨd
dʒ ˈæ b ɚ	dʒ ˈæ b ɚ d	16	jabber	jabbered	∅ -> d	regular	NA	Jˈæbɚ	Jˈæbɚd
ə s ˈɛ n t	ə s ˈɛ n t ɨ d	16	assent	assented	∅ -> ɨ d	regular	NA	əsˈɛnt	əsˈɛntɨd
ə t ˈaɪ ɚ	ə t ˈaɪ ɚ d	16	attire	attired	∅ -> d	regular	NA	ətˈYɚ	ətˈYɚd
ɛ k s ˈaɪ z	ɛ k s ˈaɪ z d	16	excise	excised	∅ -> d	regular	NA	ɛksˈYz	ɛksˈYzd
ɛ n k ˈoʊ d	ɛ n k ˈoʊ d ɨ d	16	encode	encoded	∅ -> ɨ d	regular	NA	ɛnkˈod	ɛnkˈodɨd
ɛ s ˈeɪ	ɛ s ˈeɪ d	16	essay	essayed	∅ -> d	regular	NA	ɛsˈe	ɛsˈed
f ˈa ɹ t	f ˈa ɹ t ɨ d	16	fart	farted	∅ -> ɨ d	regular	NA	fˈaɹt	fˈaɹtɨd
f ˈɛ t ɚ	f ˈɛ t ɚ d	16	fetter	fettered	∅ -> d	regular	NA	fˈɛtɚ	fˈɛtɚd
f ˈoʊ ɹ s f i d	f ˈoʊ ɹ s f ɛ d	16	force-feed	force-fed	i -> ɛ	irregular	NA	fˈoɹsfid	fˈoɹsfɛd
g ɹ ˈæ v ə l	g ɹ ˈæ v ə l d	16	gravel	gravelled	∅ -> d	regular	NA	gɹˈævəl	gɹˈævəld
h ˈa g	h ˈa g d	16	hog	hogged	∅ -> d	regular	NA	hˈag	hˈagd
h ˈʊ d w ɪ ŋ k	h ˈʊ d w ɪ ŋ k t	16	hoodwink	hoodwinked	∅ -> t	regular	NA	hˈʊdwɪŋk	hˈʊdwɪŋkt
ɪ m ˈoʊ ɹ t ə l aɪ z	ɪ m ˈoʊ ɹ t ə l aɪ z d	16	immortalize	immortalized	∅ -> d	regular	NA	ɪmˈoɹtəlYz	ɪmˈoɹtəlYzd
ɪ n g ɹ ˈeɪ ʃ i eɪ t	ɪ n g ɹ ˈeɪ ʃ i eɪ t ɨ d	16	ingratiate	ingratiated	∅ -> ɨ d	regular	NA	ɪngɹˈeʃiet	ɪngɹˈeʃietɨd
ɪ n k ˈa ɹ s ɚ eɪ t	ɪ n k ˈa ɹ s ɚ eɪ t ɨ d	16	incarcerate	incarcerated	∅ -> ɨ d	regular	NA	ɪnkˈaɹsɚet	ɪnkˈaɹsɚetɨd
k ˈæ p t ɪ v eɪ t	k ˈæ p t ɪ v eɪ t ɨ d	16	captivate	captivated	∅ -> ɨ d	regular	NA	kˈæptɪvet	kˈæptɪvetɨd
k ˈæ s t ɪ g eɪ t	k ˈæ s t ɪ g eɪ t ɨ d	16	castigate	castigated	∅ -> ɨ d	regular	NA	kˈæstɪget	kˈæstɪgetɨd
k ˈi	k ˈi d	16	key	keyed	∅ -> d	regular	NA	kˈi	kˈid
k ˈoʊ l	k ˈoʊ l d	16	coal	coaled	∅ -> d	regular	NA	kˈol	kˈold
k ˈoʊ ɹ s ə n	k ˈoʊ ɹ s ə n d	16	coarsen	coarsened	∅ -> d	regular	NA	kˈoɹsən	kˈoɹsənd
k aʊ n t ɚ v ˈeɪ l	k aʊ n t ɚ v ˈeɪ l d	16	countervail	countervailed	∅ -> d	regular	NA	kWntɚvˈel	kWntɚvˈeld
k ə ɹ ˈi ɹ	k ə ɹ ˈi ɹ d	16	career	careered	∅ -> d	regular	NA	kəɹˈiɹ	kəɹˈiɹd
k l ˈa z ɪ t	k l ˈa z ɪ t ɨ d	16	closet	closeted	∅ -> ɨ d	regular	NA	klˈazɪt	klˈazɪtɨd
k l ˈoʊ k	k l ˈoʊ k t	16	cloak	cloaked	∅ -> t	regular	NA	klˈok	klˈokt
l ˈɔ d	l ˈɔ d ɨ d	16	laud	lauded	∅ -> ɨ d	regular	NA	lˈɔd	lˈɔdɨd
n ˈaɪ t	n ˈaɪ t ɨ d	16	knight	knighted	∅ -> ɨ d	regular	NA	nˈYt	nˈYtɨd
oʊ v ɚ p ˈeɪ	oʊ v ɚ p ˈeɪ d	16	overpay	overpaid	∅ -> d	regular	NA	ovɚpˈe	ovɚpˈed
oʊ v ɚ s t ˈɛ p	oʊ v ɚ s t ˈɛ p t	16	overstep	overstepped	∅ -> t	regular	NA	ovɚstˈɛp	ovɚstˈɛpt
ɔ θ ˈɛ n t ɪ k eɪ t	ɔ θ ˈɛ n t ɪ k eɪ t ɨ d	16	authenticate	authenticated	∅ -> ɨ d	regular	NA	ɔθˈɛntɪket	ɔθˈɛntɪketɨd
p ˈoʊ l	p ˈoʊ l d	16	pole	poled	∅ -> d	regular	NA	pˈol	pˈold
p l ˈʌ m	p l ˈʌ m d	16	plumb	plumbed	∅ -> d	regular	NA	plˈʌm	plˈʌmd
p ɹ ˈa m ə l g eɪ t	p ɹ ˈa m ə l g eɪ t ɨ d	16	promulgate	promulgated	∅ -> ɨ d	regular	NA	pɹˈaməlget	pɹˈaməlgetɨd
p ɹ ˈa s p ɛ k t	p ɹ ˈa s p ɛ k t ɨ d	16	prospect	prospected	∅ -> ɨ d	regular	NA	pɹˈaspɛkt	pɹˈaspɛktɨd
ɹ ˈeɪ d i oʊ	ɹ ˈeɪ d i oʊ d	16	radio	radioed	∅ -> d	regular	NA	ɹˈedio	ɹˈediod
ɹ ˈɛ dʒ ɪ m ɛ n t	ɹ ˈɛ dʒ ɪ m ɛ n t ɨ d	16	regiment	regimented	∅ -> ɨ d	regular	NA	ɹˈɛJɪmɛnt	ɹˈɛJɪmɛntɨd
ɹ ˈoʊ b	ɹ ˈoʊ b d	16	robe	robed	∅ -> d	regular	NA	ɹˈob	ɹˈobd
ɹ ˈʌ f ə n	ɹ ˈʌ f ə n d	16	roughen	roughened	∅ -> d	regular	NA	ɹˈʌfən	ɹˈʌfənd
ɹ i f ˈoʊ ɹ m	ɹ i f ˈoʊ ɹ m d	16	re-form	re-formed	∅ -> d	regular	NA	ɹifˈoɹm	ɹifˈoɹmd
s ˈæ t ɚ aɪ z	s ˈæ t ɚ aɪ z d	16	satirize	satirized	∅ -> d	regular	NA	sˈætɚYz	sˈætɚYzd
s ˈi d	s ˈi d ɨ d	16	cede	ceded	∅ -> ɨ d	regular	NA	sˈid	sˈidɨd
s ˈʌ b	s ˈʌ b d	16	sub	subbed	∅ -> d	regular	NA	sˈʌb	sˈʌbd
s ɛ n t ɪ m ˈɛ n t ə l aɪ z	s ɛ n t ɪ m ˈɛ n t ə l aɪ z d	16	sentimentalize	sentimentalized	∅ -> d	regular	NA	sɛntɪmˈɛntəlYz	sɛntɪmˈɛntəlYzd
s l ˈɝ p	s l ˈɝ p t	16	slurp	slurped	∅ -> t	regular	NA	slˈɝp	slˈɝpt
s n ˈɪ k ɚ	s n ˈɪ k ɚ d	16	snicker	snickered	∅ -> d	regular	NA	snˈɪkɚ	snˈɪkɚd
s p ˈu k	s p ˈu k t	16	spook	spooked	∅ -> t	regular	NA	spˈuk	spˈukt
s t ˈʌ m ə k	s t ˈʌ m ə k t	16	stomach	stomached	∅ -> t	regular	NA	stˈʌmək	stˈʌməkt
s t ɹ ˈæ t ɪ f aɪ	s t ɹ ˈæ t ɪ f aɪ d	16	stratify	stratified	∅ -> d	regular	NA	stɹˈætɪfY	stɹˈætɪfYd
t ɹ æ n z ˈæ k t	t ɹ æ n z ˈæ k t ɨ d	16	transact	transacted	∅ -> ɨ d	regular	NA	tɹænzˈækt	tɹænzˈæktɨd
tʃ ˈi p ə n	tʃ ˈi p ə n d	16	cheapen	cheapened	∅ -> d	regular	NA	Cˈipən	Cˈipənd
v eɪ k ˈeɪ ʃ ə n	v eɪ k ˈeɪ ʃ ə n d	16	vacation	vacationed	∅ -> d	regular	NA	vekˈeʃən	vekˈeʃənd
ʌ n b ˈæ l ə n s	ʌ n b ˈæ l ə n s t	16	unbalance	unbalanced	∅ -> t	regular	NA	ʌnbˈæləns	ʌnbˈælənst
ˈa b l ɪ g eɪ t	ˈa b l ɪ g eɪ t ɨ d	15	obligate	obligated	∅ -> ɨ d	regular	NA	ˈablɪget	ˈablɪgetɨd
ˈæ n oʊ t eɪ t	ˈæ n oʊ t eɪ t ɨ d	15	annotate	annotated	∅ -> ɨ d	regular	NA	ˈænotet	ˈænotetɨd
ˈeɪ ɹ eɪ t	ˈeɪ ɹ eɪ t ɨ d	15	aerate	aerated	∅ -> ɨ d	regular	NA	ˈeɹet	ˈeɹetɨd
ˈɛ g z ɪ t	ˈɛ g z ɪ t ɨ d	15	exit	exited	∅ -> ɨ d	regular	NA	ˈɛgzɪt	ˈɛgzɪtɨd
ˈɪ n d ɛ k s	ˈɪ n d ɛ k s t	15	index	indexed	∅ -> t	regular	NA	ˈɪndɛks	ˈɪndɛkst
b ˈæ ŋ k ɹ ʌ p t	b ˈæ ŋ k ɹ ʌ p t ɨ d	15	bankrupt	bankrupted	∅ -> ɨ d	regular	NA	bˈæŋkɹʌpt	bˈæŋkɹʌptɨd
b ˈɝ b ə l	b ˈɝ b ə l d	15	burble	burbled	∅ -> d	regular	NA	bˈɝbəl	bˈɝbəld
b ɪ l ˈeɪ	b ɪ l ˈeɪ d	15	belay	belayed	∅ -> d	regular	NA	bɪlˈe	bɪlˈed
b ɪ m ˈoʊ n	b ɪ m ˈoʊ n d	15	bemoan	bemoaned	∅ -> d	regular	NA	bɪmˈon	bɪmˈond
b ɹ ˈɔɪ l	b ɹ ˈɔɪ l d	15	broil	broiled	∅ -> d	regular	NA	bɹˈOl	bɹˈOld
d ˈɝ t i	d ˈɝ t i d	15	dirty	dirtied	∅ -> d	regular	NA	dˈɝti	dˈɝtid
d ˈɪ s t ə n s	d ˈɪ s t ə n s t	15	distance	distanced	∅ -> t	regular	NA	dˈɪstəns	dˈɪstənst
d ɪ f ˈɔ l t	d ɪ f ˈɔ l t ɨ d	15	default	defaulted	∅ -> ɨ d	regular	NA	dɪfˈɔlt	dɪfˈɔltɨd
d ɪ s ˈa n ɚ	d ɪ s ˈa n ɚ d	15	dishonour	dishonoured	∅ -> d	regular	NA	dɪsˈanɚ	dɪsˈanɚd
d ɪ s b ˈɝ s	d ɪ s b ˈɝ s t	15	disburse	disbursed	∅ -> t	regular	NA	dɪsbˈɝs	dɪsbˈɝst
d ɪ s ɪ n f ˈɛ k t	d ɪ s ɪ n f ˈɛ k t ɨ d	15	disinfect	disinfected	∅ -> ɨ d	regular	NA	dɪsɪnfˈɛkt	dɪsɪnfˈɛktɨd
d ɪ s p ˈoʊ ɹ t	d ɪ s p ˈoʊ ɹ t ɨ d	15	disport	disported	∅ -> ɨ d	regular	NA	dɪspˈoɹt	dɪspˈoɹtɨd
dʒ ˈa k i	dʒ ˈa k i d	15	jockey	jockeyed	∅ -> d	regular	NA	Jˈaki	Jˈakid
ə b ˈæ ʃ	ə b ˈæ ʃ t	15	abash	abashed	∅ -> t	regular	NA	əbˈæʃ	əbˈæʃt
ə b ɹ ˈɪ dʒ	ə b ɹ ˈɪ dʒ d	15	abridge	abridged	∅ -> d	regular	NA	əbɹˈɪJ	əbɹˈɪJd
ə dʒ ˈʌ dʒ	ə dʒ ˈʌ dʒ d	15	adjudge	adjudged	∅ -> d	regular	NA	əJˈʌJ	əJˈʌJd
ə p ɹ ˈɛ n t ɪ s	ə p ɹ ˈɛ n t ɪ s t	15	apprentice	apprenticed	∅ -> t	regular	NA	əpɹˈɛntɪs	əpɹˈɛntɪst
ə t ˈoʊ n	ə t ˈoʊ n d	15	atone	atoned	∅ -> d	regular	NA	ətˈon	ətˈond
f ˈɝ l	f ˈɝ l d	15	furl	furled	∅ -> d	regular	NA	fˈɝl	fˈɝld
f ˈoʊ ɹ d	f ˈoʊ ɹ d ɨ d	15	ford	forded	∅ -> ɨ d	regular	NA	fˈoɹd	fˈoɹdɨd
f l ˈæ b ɚ g æ s t	f l ˈæ b ɚ g æ s t ɨ d	15	flabbergast	flabbergasted	∅ -> ɨ d	regular	NA	flˈæbɚgæst	flˈæbɚgæstɨd
f l ˈaʊ n s	f l ˈaʊ n s t	15	flounce	flounced	∅ -> t	regular	NA	flˈWns	flˈWnst
f l ˈoʊ ɹ	f l ˈoʊ ɹ d	15	floor	floored	∅ -> d	regular	NA	flˈoɹ	flˈoɹd
g ɹ ˈæ n j ʊ l eɪ t	g ɹ ˈæ n j ʊ l eɪ t ɨ d	15	granulate	granulated	∅ -> ɨ d	regular	NA	gɹˈænjʊlet	gɹˈænjʊletɨd
g ɹ ˈʌ dʒ	g ɹ ˈʌ dʒ d	15	grudge	grudged	∅ -> d	regular	NA	gɹˈʌJ	gɹˈʌJd
h ˈa ɹ t ə n	h ˈa ɹ t ə n d	15	hearten	heartened	∅ -> d	regular	NA	hˈaɹtən	hˈaɹtənd
h ˈæ m s t ɹ ɪ ŋ	h ˈæ m s t ɹ ʌ ŋ	15	hamstring	hamstrung	ɪ -> ʌ	irregular	NA	hˈæmstɹɪŋ	hˈæmstɹʌŋ
h ˈaɪ v	h ˈaɪ v d	15	hive	hived	∅ -> d	regular	NA	hˈYv	hˈYvd
h ˈɪ tʃ h aɪ k	h ˈɪ tʃ h aɪ k t	15	hitchhike	hitchhiked	∅ -> t	regular	NA	hˈɪChYk	hˈɪChYkt
h ˈoʊ n	h ˈoʊ n d	15	hone	honed	∅ -> d	regular	NA	hˈon	hˈond
ɪ n t ˈu ɪ t	ɪ n t ˈu ɪ t ɨ d	15	intuit	intuited	∅ -> ɨ d	regular	NA	ɪntˈuɪt	ɪntˈuɪtɨd
j ˈæ p	j ˈæ p t	15	yap	yapped	∅ -> t	regular	NA	jˈæp	jˈæpt
j ˈu n j ə n aɪ z	j ˈu n j ə n aɪ z d	15	unionize	unionized	∅ -> d	regular	NA	jˈunjənYz	jˈunjənYzd
k ə m ˈɝ ʃ ə l aɪ z	k ə m ˈɝ ʃ ə l aɪ z d	15	commercialize	commercialized	∅ -> d	regular	NA	kəmˈɝʃəlYz	kəmˈɝʃəlYzd
k ə n ˈaɪ v	k ə n ˈaɪ v d	15	connive	connived	∅ -> d	regular	NA	kənˈYv	kənˈYvd
k l ˈaɪ m æ k s	k l ˈaɪ m æ k s t	15	climax	climaxed	∅ -> t	regular	NA	klˈYmæks	klˈYmækst
k l ˈaʊ t	k l ˈaʊ t ɨ d	15	clout	clouted	∅ -> ɨ d	regular	NA	klˈWt	klˈWtɨd
k ɹ ˈi m eɪ t	k ɹ ˈi m eɪ t ɨ d	15	cremate	cremated	∅ -> ɨ d	regular	NA	kɹˈimet	kɹˈimetɨd
k w ˈɪ p	k w ˈɪ p t	15	quip	quipped	∅ -> t	regular	NA	kwˈɪp	kwˈɪpt
m ˈa t ə l	m ˈa t ə l d	15	mottle	mottled	∅ -> d	regular	NA	mˈatəl	mˈatəld
m ˈɪ m i ə g ɹ æ f	m ˈɪ m i ə g ɹ æ f t	15	mimeograph	mimeographed	∅ -> t	regular	NA	mˈɪmiəgɹæf	mˈɪmiəgɹæft
m ˈɪ s t	m ˈɪ s t ɨ d	15	mist	misted	∅ -> ɨ d	regular	NA	mˈɪst	mˈɪstɨd
m ɪ s b ɪ h ˈeɪ v	m ɪ s b ɪ h ˈeɪ v d	15	misbehave	misbehaved	∅ -> d	regular	NA	mɪsbɪhˈev	mɪsbɪhˈevd
n ˈa tʃ	n ˈa tʃ t	15	notch	notched	∅ -> t	regular	NA	nˈaC	nˈaCt
p ˈa t	p ˈa t ɨ d	15	pot	potted	∅ -> ɨ d	regular	NA	pˈat	pˈatɨd
p ˈɝ f ə ɹ eɪ t	p ˈɝ f ə ɹ eɪ t ɨ d	15	perforate	perforated	∅ -> ɨ d	regular	NA	pˈɝfəɹet	pˈɝfəɹetɨd
p ˈɪ ŋ	p ˈɪ ŋ d	15	ping	pinged	∅ -> d	regular	NA	pˈɪŋ	pˈɪŋd
p l ˈʌ m ɪ t	p l ˈʌ m ɪ t ɨ d	15	plummet	plummetted	∅ -> ɨ d	regular	NA	plˈʌmɪt	plˈʌmɪtɨd
p ɹ ˈɔ s ə l ɪ t aɪ z	p ɹ ˈɔ s ə l ɪ t aɪ z d	15	proselytize	proselytized	∅ -> d	regular	NA	pɹˈɔsəlɪtYz	pɹˈɔsəlɪtYzd
p ɹ ə p ˈoʊ ɹ ʃ ə n	p ɹ ə p ˈoʊ ɹ ʃ ə n d	15	proportion	proportioned	∅ -> d	regular	NA	pɹəpˈoɹʃən	pɹəpˈoɹʃənd
ɹ ˈu m ɪ n eɪ t	ɹ ˈu m ɪ n eɪ t ɨ d	15	ruminate	ruminated	∅ -> ɨ d	regular	NA	ɹˈumɪnet	ɹˈumɪnetɨd
ɹ i j ˈu z	ɹ i j ˈu z d	15	reuse	reused	∅ -> d	regular	NA	ɹijˈuz	ɹijˈuzd
ɹ i l ˈoʊ k eɪ t	ɹ i l ˈoʊ k eɪ t ɨ d	15	relocate	relocated	∅ -> ɨ d	regular	NA	ɹilˈoket	ɹilˈoketɨd
ɹ i v ˈæ l j u	ɹ i v ˈæ l j u d	15	revalue	revalued	∅ -> d	regular	NA	ɹivˈælju	ɹivˈæljud
s ˈa ɹ oʊ	s ˈa ɹ oʊ d	15	sorrow	sorrowed	∅ -> d	regular	NA	sˈaɹo	sˈaɹod
s ˈaɪ ð	s ˈaɪ ð d	15	scythe	scythed	∅ -> d	regular	NA	sˈYð	sˈYðd
s ˈeɪ t	s ˈeɪ t ɨ d	15	sate	sated	∅ -> ɨ d	regular	NA	sˈet	sˈetɨd
s ˈɛ k ə n d	s ˈɛ k ə n d ɨ d	15	second	seconded	∅ -> ɨ d	regular	NA	sˈɛkənd	sˈɛkəndɨd
s ˈɛ n s ɪ t aɪ z	s ˈɛ n s ɪ t aɪ z d	15	sensitize	sensitized	∅ -> d	regular	NA	sˈɛnsɪtYz	sˈɛnsɪtYzd
s ˈʌ l i	s ˈʌ l i d	15	sully	sullied	∅ -> d	regular	NA	sˈʌli	sˈʌlid
s l ˈɪ m	s l ˈɪ m d	15	slim	slimmed	∅ -> d	regular	NA	slˈɪm	slˈɪmd
s n ˈæ g	s n ˈæ g d	15	snag	snagged	∅ -> d	regular	NA	snˈæg	snˈægd
s n ˈoʊ b ɔ l	s n ˈoʊ b ɔ l d	15	snowball	snowballed	∅ -> d	regular	NA	snˈobɔl	snˈobɔld
s p ˈi ɹ ɪ t	s p ˈi ɹ ɪ t ɨ d	15	spirit	spirited	∅ -> ɨ d	regular	NA	spˈiɹɪt	spˈiɹɪtɨd
s t ɹ ˈeɪ f	s t ɹ ˈeɪ f t	15	strafe	strafed	∅ -> t	regular	NA	stɹˈef	stɹˈeft
s t ɹ ˈʌ m	s t ɹ ˈʌ m d	15	strum	strummed	∅ -> d	regular	NA	stɹˈʌm	stɹˈʌmd
s w ˈɪ n d ə l	s w ˈɪ n d ə l d	15	swindle	swindled	∅ -> d	regular	NA	swˈɪndəl	swˈɪndəld
ʃ ˈɪ p ɹ ɛ k	ʃ ˈɪ p ɹ ɛ k t	15	shipwreck	shipwrecked	∅ -> t	regular	NA	ʃˈɪpɹɛk	ʃˈɪpɹɛkt
t ˈɛ n d ɚ	t ˈɛ n d ɚ d	15	tender	tendered	∅ -> d	regular	NA	tˈɛndɚ	tˈɛndɚd
t ɹ ˈaʊ n s	t ɹ ˈaʊ n s t	15	trounce	trounced	∅ -> t	regular	NA	tɹˈWns	tɹˈWnst
t ɹ ˈʌ ŋ k eɪ t	t ɹ ˈʌ ŋ k eɪ t ɨ d	15	truncate	truncated	∅ -> ɨ d	regular	NA	tɹˈʌŋket	tɹˈʌŋketɨd
tʃ æ s t ˈaɪ z	tʃ æ s t ˈaɪ z d	15	chastise	chastised	∅ -> d	regular	NA	CæstˈYz	CæstˈYzd
v ˈɝ b ə l aɪ z	v ˈɝ b ə l aɪ z d	15	verbalize	verbalized	∅ -> d	regular	NA	vˈɝbəlYz	vˈɝbəlYzd
ʌ n t ˈæ ŋ g ə l	ʌ n t ˈæ ŋ g ə l d	15	untangle	untangled	∅ -> d	regular	NA	ʌntˈæŋgəl	ʌntˈæŋgəld
w ˈæ ŋ g ə l	w ˈæ ŋ g ə l d	15	wangle	wangled	∅ -> d	regular	NA	wˈæŋgəl	wˈæŋgəld
w ˈɪ n t ɚ	w ˈɪ n t ɚ d	15	winter	wintered	∅ -> d	regular	NA	wˈɪntɚ	wˈɪntɚd
ˈæ d ə l	ˈæ d ə l d	14	addle	addled	∅ -> d	regular	NA	ˈædəl	ˈædəld
ˈɛ l b oʊ	ˈɛ l b oʊ d	14	elbow	elbowed	∅ -> d	regular	NA	ˈɛlbo	ˈɛlbod
b ˈɛ l	b ˈɛ l d	14	bell	belled	∅ -> d	regular	NA	bˈɛl	bˈɛld
b ɪ f ˈʌ d ə l	b ɪ f ˈʌ d ə l d	14	befuddle	befuddled	∅ -> d	regular	NA	bɪfˈʌdəl	bɪfˈʌdəld
b l ˈʌ dʒ ə n	b l ˈʌ dʒ ə n d	14	bludgeon	bludgeoned	∅ -> d	regular	NA	blˈʌJən	blˈʌJənd
b l a k ˈeɪ d	b l a k ˈeɪ d ɨ d	14	blockade	blockaded	∅ -> ɨ d	regular	NA	blakˈed	blakˈedɨd
b ɹ ˈu t ə l aɪ z	b ɹ ˈu t ə l aɪ z d	14	brutalize	brutalized	∅ -> d	regular	NA	bɹˈutəlYz	bɹˈutəlYzd
d ˈaɪ n ə m aɪ t	d ˈaɪ n ə m aɪ t ɨ d	14	dynamite	dynamited	∅ -> ɨ d	regular	NA	dˈYnəmYt	dˈYnəmYtɨd
d ˈɔ b	d ˈɔ b d	14	daub	daubed	∅ -> d	regular	NA	dˈɔb	dˈɔbd
d ˈʌ ŋ k	d ˈʌ ŋ k t	14	dunk	dunked	∅ -> t	regular	NA	dˈʌŋk	dˈʌŋkt
d ɪ p ɹ ˈi ʃ i eɪ t	d ɪ p ɹ ˈi ʃ i eɪ t ɨ d	14	depreciate	depreciated	∅ -> ɨ d	regular	NA	dɪpɹˈiʃiet	dɪpɹˈiʃietɨd
d ɪ s ə s ˈoʊ s i eɪ t	d ɪ s ə s ˈoʊ s i eɪ t ɨ d	14	disassociate	disassociated	∅ -> ɨ d	regular	NA	dɪsəsˈosiet	dɪsəsˈosietɨd
d ɪ s p ə z ˈɛ s	d ɪ s p ə z ˈɛ s t	14	dispossess	dispossessed	∅ -> t	regular	NA	dɪspəzˈɛs	dɪspəzˈɛst
ə p ˈɛ n d	ə p ˈɛ n d ɨ d	14	append	appended	∅ -> ɨ d	regular	NA	əpˈɛnd	əpˈɛndɨd
ə p ɹ ˈaɪ z	ə p ɹ ˈaɪ z d	14	apprise	apprised	∅ -> d	regular	NA	əpɹˈYz	əpɹˈYzd
ɛ g z ˈu m	ɛ g z ˈu m d	14	exhume	exhumed	∅ -> d	regular	NA	ɛgzˈum	ɛgzˈumd
f ˈeɪ n t	f ˈeɪ n t ɨ d	14	feint	feinted	∅ -> ɨ d	regular	NA	fˈent	fˈentɨd
f ˈɪ l tʃ	f ˈɪ l tʃ t	14	filch	filched	∅ -> t	regular	NA	fˈɪlC	fˈɪlCt
f ˈɪ ŋ g ɚ p ɹ ɪ n t	f ˈɪ ŋ g ɚ p ɹ ɪ n t ɨ d	14	fingerprint	fingerprinted	∅ -> ɨ d	regular	NA	fˈɪŋgɚpɹɪnt	fˈɪŋgɚpɹɪntɨd
f oʊ ɹ b ˈeɪ ɹ	f oʊ ɹ b ˈoʊ ɹ	14	forbear	forbore	eɪ -> oʊ	irregular	NA	foɹbˈeɹ	foɹbˈoɹ
g ˈæ ʃ	g ˈæ ʃ t	14	gash	gashed	∅ -> t	regular	NA	gˈæʃ	gˈæʃt
g ˈoʊ s t	g ˈoʊ s t ɨ d	14	ghost	ghosted	∅ -> ɨ d	regular	NA	gˈost	gˈostɨd
g ˈɔ l	g ˈɔ l d	14	gall	galled	∅ -> d	regular	NA	gˈɔl	gˈɔld
g ˈʌ t ɚ	g ˈʌ t ɚ d	14	gutter	guttered	∅ -> d	regular	NA	gˈʌtɚ	gˈʌtɚd
h ˈoʊ s t	h ˈoʊ s t ɨ d	14	host	hosted	∅ -> ɨ d	regular	NA	hˈost	hˈostɨd
h ˈʌ f	h ˈʌ f t	14	huff	huffed	∅ -> t	regular	NA	hˈʌf	hˈʌft
h ˈʌ z b ə n d	h ˈʌ z b ə n d ɨ d	14	husband	husbanded	∅ -> ɨ d	regular	NA	hˈʌzbənd	hˈʌzbəndɨd
